scope,symbol,initial_reaction,horizon,n,mean_return,median_return,std_return,standard_error,ci95_lower,ci95_upper,sample_note
stock,HAL,negative,d1,7,-0.003782763526019171,0.007524271844660202,0.02825652921393474,0.010679964173414677,-0.024715493305911936,0.017149966253873595,descriptive
stock,HAL,negative,d3,7,-0.010882925605617306,-0.010015012236000542,0.0392953221105221,0.01485223571323132,-0.039993307603550694,0.01822745639231608,descriptive
stock,HAL,negative,d5,7,-0.019171312786649963,-0.02523289530507744,0.05163581171119548,0.019516502361825682,-0.0574236574158283,0.019081031842528372,descriptive
stock,HAL,negative,d10,7,-0.031636055827864475,-0.07232607399181523,0.08031855652954965,0.03035756089155306,-0.09113687517530847,0.02786476351957952,descriptive
stock,HAL,negative,d20,7,0.025136732630104647,-0.05859190860438679,0.17605538353729575,0.06654268025911136,-0.10528692067775362,0.15556038593796293,descriptive
stock,HDFCBANK,all,d1,13,-0.0063495116887356115,-0.003574950690335421,0.021941920633159577,0.006085593840386011,-0.018277275615892194,0.00557825223842097,inferential
stock,HDFCBANK,all,d3,13,-0.012105135811246316,-0.008123689727463357,0.02348832842985777,0.0065144901945223665,-0.024873536592510154,0.0006632649700175214,inferential
stock,HDFCBANK,all,d5,13,-0.012800843077302866,-0.007337742868954167,0.03000997592802558,0.008323269767995096,-0.029114451822573252,0.003512765667967521,inferential
stock,HDFCBANK,all,d10,13,-0.013280314049451437,-0.0039447731755424265,0.02923025219517469,0.008107013314188168,-0.029170060145260246,0.002609432046357371,inferential
stock,HDFCBANK,all,d20,13,-0.017364070685907115,0.0004761904761905189,0.040809179969439224,0.011318430068419314,-0.03954819362000897,0.004820052248194741,inferential
stock,HDFCBANK,positive,d1,6,0.004541429235540739,0.0018422887201680616,0.010964786315857677,0.004476355268750456,-0.004232227091210156,0.013315085562291634,descriptive
stock,HDFCBANK,positive,d3,6,-0.00105799120740759,-0.0039447731755424265,0.012262262024882072,0.005006047508878054,-0.010869844324808576,0.008753861909993395,descriptive
stock,HDFCBANK,positive,d5,6,0.0012115688015510255,0.0020726635397590454,0.011074219759113005,0.004521031284879017,-0.0076496525168118475,0.010072790119913898,descriptive
stock,HDFCBANK,positive,d10,6,0.0007537103450509138,-0.0037137378763711926,0.020773561208302926,0.00848077085013609,-0.015868600521215824,0.01737602121131765,descriptive
stock,HDFCBANK,positive,d20,6,0.004420998276262226,0.00714990138067062,0.025732641645415357,0.010505306960860028,-0.016169403367023428,0.025011399919547882,descriptive
stock,HDFCBANK,neutral,d1,0,,,,,,,descriptive
stock,HDFCBANK,neutral,d3,0,,,,,,,descriptive
stock,HDFCBANK,neutral,d5,0,,,,,,,descriptive
stock,HDFCBANK,neutral,d10,0,,,,,,,descriptive
stock,HDFCBANK,neutral,d20,0,,,,,,,descriptive
stock,HDFCBANK,negative,d1,7,-0.01568460390954391,-0.01231656184486385,0.025346132793146684,0.009579937723983578,-0.034461281848551725,0.0030920740294639038,descriptive
stock,HDFCBANK,negative,d3,7,-0.021574116900250937,-0.010541546093427057,0.027412697410372392,0.010361025730472808,-0.04188172733197764,-0.0012665064685242339,descriptive
stock,HDFCBANK,negative,d5,7,-0.0248114818306062,-0.010497489730716514,0.036528796684328645,0.013806587388453482,-0.05187239311197503,0.0022494294507626224,descriptive
stock,HDFCBANK,negative,d10,7,-0.025309477816167738,-0.013626834381551434,0.0313596316507607,0.01185282665064325,-0.048541018051428506,-0.0020779375809069703,descriptive
stock,HDFCBANK,negative,d20,7,-0.03603698693919512,-0.031036703155183587,0.04356134719975409,0.01646464163792703,-0.0683076845495321,-0.003766289328858141,descriptive
stock,NYKAA,all,d1,13,-0.024989462871053927,-0.011989679769312422,0.043930053383192356,0.012184004615920795,-0.048870111918258685,-0.0011088138238491696,inferential
stock,NYKAA,all,d3,13,-0.030358172590971767,-0.02786779001944273,0.05600959766657724,0.015534267408073265,-0.06080533671079537,8.899152885183392e-05,inferential
stock,NYKAA,all,d5,13,-0.01635830126617118,-0.018948655256723734,0.06303342343084178,0.017482326172917947,-0.05062366056509036,0.017907058032747995,inferential
stock,NYKAA,all,d10,13,-0.017050501603232404,-0.049092229484386296,0.07819425625988327,0.02168718464552155,-0.059557383508454645,0.025456380301989837,inferential
stock,NYKAA,all,d20,12,0.006032570222710855,-0.018180909669075207,0.07798657386217925,0.02251278470625291,-0.038092487801544846,0.05015762824696656,inferential
stock,NYKAA,positive,d1,4,0.019802240772950508,0.019670552572254363,0.021646855732965268,0.010823427866482634,-0.0014116778453554558,0.04101615939125647,descriptive
stock,NYKAA,positive,d3,4,0.027428331030172476,0.02869577332205875,0.02721834699194899,0.013609173495974495,0.0007543509780624687,0.05410231108228249,descriptive
