symbol,subject_group,horizon,n,mean_return,median_return,std_return,mean_volume_ratio,median_volume_ratio,mean_range,median_range
NYKAA,capital_structure,session_close,50,-0.0005916094731563582,3.774853951910018e-05,0.01595944335895806,1.2733265013368544,0.916421533882104,0.02967017080103883,0.02752728205902899
NYKAA,capital_structure,d1,50,-0.004105729741780944,-0.009531268249577063,0.024574421299761853,,,,
NYKAA,capital_structure,d5,50,0.0003937822227973986,0.001587781680654432,0.04097326584834645,,,,
NYKAA,capital_structure,d10,49,0.010980185095661366,0.0003785011355035284,0.060341267086567583,,,,
NYKAA,capital_structure,d20,49,0.03133693031231649,0.027385226491482673,0.08031900369636262,,,,
NYKAA,credit_ratings,5m,4,0.001839462301282374,-0.000742190716525648,0.011501990797725957,2.4417909441133214,1.8295318331673625,0.024035975117355224,0.02101015001171147
NYKAA,credit_ratings,30m,4,-0.003552181743296745,-0.0022906837248723444,0.012397750529542973,2.0365318250516746,1.8541117038926878,0.030529802813871076,0.026132678265041953
NYKAA,credit_ratings,60m,4,-0.00022664676630956837,0.0008528785811137141,0.006027764232978178,1.7355412671053,1.6256665265587291,0.030529802813871076,0.026132678265041953
NYKAA,credit_ratings,session_close,4,2.358508330044251e-05,0.00138332115725337,0.008780226216884679,1.0777442230683905,0.9533679914653581,0.031266190467357846,0.027605453572015493
NYKAA,credit_ratings,d1,4,0.00396327806142302,0.007914145763586289,0.037338899375800795,,,,
NYKAA,credit_ratings,d5,4,0.03590840331289405,0.03185825793806807,0.05738974335129277,,,,
NYKAA,credit_ratings,d10,4,0.0357906935908365,0.04555350928050195,0.0932400228312849,,,,
NYKAA,credit_ratings,d20,4,0.07541372165049995,0.09161586047632919,0.06269004899515974,,,,
NYKAA,financial_results,5m,19,-0.003934941317158109,-0.005184705119896327,0.013583275322341907,24.92502653989351,19.45747381273697,0.030739506868702554,0.032052040212891875
NYKAA,financial_results,30m,19,-0.010207609176145301,-0.009001731102135091,0.0221830441716111,16.619942225824268,18.668678862844967,0.04096190585788099,0.03806804663335717
NYKAA,financial_results,60m,19,-0.012335537790510104,-0.01464757195503108,0.02474853307763431,14.136818312806076,16.23646174877134,0.04350724407308883,0.03892617449664426
NYKAA,financial_results,session_close,19,-0.014642592408348257,-0.021835639066694168,0.034308972242597,7.771413107993976,6.821710374881785,0.06329768180907609,0.05692599620493355
NYKAA,financial_results,d1,19,-0.015910945480826423,-0.010963646855164488,0.04139263165199629,,,,
NYKAA,financial_results,d5,19,-0.004908798723546565,-0.018465089440277027,0.05742369559668345,,,,
NYKAA,financial_results,d10,19,-0.0020474541967868743,-0.013861486315576377,0.07659944041702148,,,,
NYKAA,financial_results,d20,18,0.01461398883270629,0.005629782341513678,0.076728356429612,,,,
NYKAA,investor_communication,5m,111,-0.0015578151428014139,-0.0006097560975609762,0.008532554791715505,8.531136529279316,1.7145552852376627,0.01529643011646718,0.011895365881159137
NYKAA,investor_communication,30m,109,-0.0034865817976191347,-0.001013513513513531,0.016486170157954845,6.529636200745395,2.012181555673023,0.022981216502819878,0.016295363300007804
NYKAA,investor_communication,60m,105,-0.004597434895805701,-0.0011152416356877692,0.018624867535260298,5.601123947364726,2.1146198571839143,0.026297110641980793,0.018742760871854225
NYKAA,investor_communication,session_close,111,-0.005613492049576428,-0.002941176470588225,0.023497236230304072,3.2391274201529456,1.617382374785793,0.03671144929544457,0.029003021148036323
NYKAA,investor_communication,d1,111,-0.003244967238922737,-0.0011356597150526948,0.03444776954602295,,,,
NYKAA,investor_communication,d5,111,0.005642292671658221,0.003062787136294043,0.051438912420306404,,,,
NYKAA,investor_communication,d10,108,0.013272431571342346,-0.0011797609057153102,0.0670504659155094,,,,
NYKAA,investor_communication,d20,103,0.03332853746757148,0.028590207032533677,0.08072296548412862,,,,
NYKAA,regulatory_compliance,5m,32,0.0009232443514902225,0.00023662131841883927,0.007739012121251045,3.35797541194985,2.1616037729456488,0.012729667518340752,0.012379444364474024
NYKAA,regulatory_compliance,30m,29,0.0032959739880610603,0.0005376344086021057,0.010890239930670006,2.6010724909651657,1.7302879438628196,0.018798761765535296,0.01722566095676803
NYKAA,regulatory_compliance,60m,29,0.0033509638731402517,0.0006194310763805166,0.011546754030544976,2.380852264388864,1.4203411571263638,0.02047657193336577,0.01722566095676803
NYKAA,regulatory_compliance,session_close,32,0.003877277464551014,0.006224782559584252,0.016499639498373977,1.4885142105407752,1.242515391551462,0.027969021522271334,0.028561457482094044
NYKAA,regulatory_compliance,d1,32,0.0032373943681980495,0.0055173017815832726,0.024291709674613117,,,,
NYKAA,regulatory_compliance,d5,32,-0.0023600236059261002,-0.015970583387954262,0.041423191631848405,,,,
NYKAA,regulatory_compliance,d10,32,0.017494765069564253,0.0071342917073987655,0.07052117625240227,,,,
NYKAA,regulatory_compliance,d20,30,0.04397020786647792,0.05045108840893864,0.09048134873172857,,,,
NYKAA,strategic_transactions,5m,9,-0.007501740751214286,-0.007856949336223384,0.010731741662717979,20.12230485275616,14.994383309849198,0.023180863419255997,0.018867924528301883
NYKAA,strategic_transactions,30m,9,-0.012475094410114011,-0.004898073424453142,0.01715805158461457,11.844357298393234,9.060210623592152,0.03258999651118293,0.02857142857142847
NYKAA,strategic_transactions,60m,9,-0.013948204578210246,-0.01464757195503108,0.015112138789053778,9.520394465791684,8.36321082083486,0.03324577998358147,0.02857142857142847
NYKAA,strategic_transactions,session_close,9,-0.00834644129402694,0.0007396449704144548,0.023554208071001632,5.898415963385591,3.0938811049741526,0.04788549311631601,0.05128571428571438
NYKAA,strategic_transactions,d1,9,-0.013375616941652223,-0.0012979521199885102,0.03221141691878033,,,,
NYKAA,strategic_transactions,d5,9,0.0035964349572642617,-0.008092417756406456,0.06794288458321518,,,,
