symbol,subject_group,horizon,independent_event_count,analysis_status,n,mean_return,median_return,standard_error,ci95_lower,ci95_upper
HDFCBANK,investor_communication,d1,119,inferential,119,-0.0024073740409025703,0.0002619172341538,0.0014250055905086541,-0.005200384998299532,0.00038563691649439163
HDFCBANK,investor_communication,d5,119,inferential,117,-0.003359971818344109,-0.0002452783909736,0.002747712366823977,-0.008745488057319104,0.0020255444206308854
HDFCBANK,investor_communication,d10,119,inferential,117,-0.0013852421639784112,-0.001103974307507,0.0036544796318261977,-0.008548022242357758,0.005777537914400936
HDFCBANK,investor_communication,d20,119,inferential,116,-0.0040001084266125106,0.0003016894609815,0.004934261072235917,-0.013671260128194907,0.005671043274969885
HDFCBANK,regulatory_compliance,5m,28,inferential,28,-0.0006773207816123408,-0.0003246885048622,0.0003745622121006056,-0.0014114627173295279,5.682115410484605e-05
HDFCBANK,regulatory_compliance,30m,28,inferential,28,-0.0010495209849683107,-0.0008998684298198,0.0006789553990203426,-0.0023802735670481823,0.0002812315971115608
HDFCBANK,regulatory_compliance,60m,28,inferential,24,-0.000334396755976921,-0.0009245537859862,0.0008762785572004283,-0.0020519027280897603,0.0013831092161359184
HDFCBANK,regulatory_compliance,session_close,28,inferential,28,-0.0011510124702335035,-0.0019320546581403498,0.001441418565302619,-0.003976192858226637,0.0016741679177596299
HDFCBANK,regulatory_compliance,d1,28,inferential,28,-0.0010273738945430389,-0.0006301779011136,0.0028036673312755575,-0.006522561863843132,0.0044678140747570535
HDFCBANK,regulatory_compliance,d5,28,inferential,28,-0.006860247126446706,-0.00265723348340825,0.004810653303857462,-0.016289127602007333,0.00256863334911392
HDFCBANK,regulatory_compliance,d10,28,inferential,28,-0.0038413455225095425,-0.00056418498267875,0.007294746283395998,-0.018139048237965697,0.010456357192946613
HDFCBANK,regulatory_compliance,d20,28,inferential,28,-0.008195600103239461,-0.0037434293704612,0.00932352148021788,-0.026469702204466504,0.010078501997987583
HDFCBANK,strategic_transactions,5m,9,descriptive_only,9,0.00013284971573172358,6.86059275523121e-05,0.0009979859807852122,-0.0018232028066072924,0.0020889022380707395
HDFCBANK,strategic_transactions,30m,9,descriptive_only,9,0.000287684987234911,0.0004094445202673,0.0020037740937392592,-0.003639712236494037,0.0042150822109638586
HDFCBANK,strategic_transactions,60m,9,descriptive_only,9,-0.00015992605497872224,0.0013216388321519,0.0016803991682131805,-0.003453508424676556,0.0031336563147191113
